ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Type,Product_Class,Defrost_Type,Compact,Built-in,Height_Inches,Width_Inches,Capacity_Volume,Adjusted_Volume,Estimated_Annual_Energy_Use,US_Federal_Standard_Energy_Use,Date_Available,Date_Certified,Markets,CB_Model_Identifier,
2254345,Marvel,MP24BCF***,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,33.8,23.9,5.5,5.5,259,310,6/18/2015,11/10/2015,"United States, Canada",ES_1100125_MP24BCF***_07022015125644_7003830,No
2254346,Marvel,MP24BCG***,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,33.8,23.9,5.5,5.5,256,310,6/22/2015,11/10/2015,"United States, Canada",ES_1100125_MP24BCG***_07022015125644_7003830,No
2235145,Marvel,MP24BR1F***,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,33.8,23.9,5.2,5.2,256,307,1/14/2015,3/16/2015,"United States, Canada",ES_1100125_MP24BR1F***_03192015020551_70027389,No
2235146,Marvel,MP24BR1G***,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,33.8,23.9,5.3,5.3,258,308,1/14/2015,3/16/2015,"United States, Canada",ES_1100125_MP24BR1G***_03192015020551_70027389,No
2220323,Marvel,MP24RA1P***,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,33.8,23.9,5.5,5.5,219,310,9/15/2014,9/24/2014,"United States, Canada",ES_1100125_MP24RA1P***_09242014055957_2765131,No
2235141,Marvel,MP24RA1S***,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,33.8,23.9,5.1,5.1,185,306,1/14/2015,3/16/2015,"United States, Canada",ES_1100125_MP24RA1S***_03192015020551_70027389,No
2220313,Marvel,MP24RD1P***,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,33.8,23.9,5,5,242,305,9/15/2014,9/24/2014,"United States, Canada",ES_1100125_MP24RD1P***_09242014055957_2765131,No
2220328,Marvel,MP24RD1S***,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,33.8,23.9,5,5,236,305,9/15/2014,9/24/2014,"United States, Canada",ES_1100125_MP24RD1S***_09242014055957_2765131,No
2295337,Marvel,MP24WBF***,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,33.8,23.9,4.9,4.9,273,304,5/15/2017,5/1/2017,"United States, Canada",ES_1100125_MP24WBF***_05022017023618_70135330,No
2295336,Marvel,MP24WBG***,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,33.8,23.9,5,5,266,305,5/15/2017,5/1/2017,"United States, Canada",ES_1100125_MP24WBG***_05022017023618_70135330,No
2295338,Marvel,NL24RAS***,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,33.8,23.9,5.3,5.3,224,308,5/15/2017,5/1/2017,"United States, Canada",ES_1100125_NL24RAS***_05022017023618_70135330,No
