ES_ID,Brand_Name,Model_Number,Additional_Model_Information,UPC,Load_Configuration,Additional_Washer_Features,Intended_Market,Volume_CubicFeet,Integrated_Modified_Energy_Factor,US_Federal_IMEF_Standard,Estimated_Annual_Energy_Use,Integrated_Water_Factor (IWF),US_Federal_IWF_Standard,Annual_Water_Use,Connected,Connects_Using,R,S,Paired_Dryer,U,Date_Available,Date_Certified,Markets,CB_Model_Identifier,Meets_ENERGY_STAR_Most_Efficient_2017_Criteria
2253655,Kenmore,592-4941*,,1,Front Load,,Residential,3.6,2.4,1.84,106,3.5,4.7,3676,No,,,,No,,4/22/2015,4/22/2015,Canada,ES_0015649_592-4941*_04202015015759_70029832,No
2253654,Kenmore,592-4942*,,1,Front Load,,Residential,3.6,2.4,1.84,106,3.5,4.7,3676,No,,,,No,,4/22/2015,4/22/2015,Canada,ES_0015649_592-4942*_04202015015759_70029832,No
2238068,Kenmore,592-4944*,,1,Front Load,,Residential,4,2.5,1.84,100,3.3,4.7,3855,No,,,,No,,4/22/2015,4/22/2015,Canada,ES_0015649_592-4944*_04202015015759_70029832,No
2253656,Kenmore,592-4945*,,1,Front Load,,Residential,4,2.5,1.84,100,3.3,4.7,3855,No,,,,No,,4/22/2015,4/22/2015,Canada,ES_0015649_592-4945*_04202015015759_70029832,No
2238071,Kenmore,592-4946*,,1,Front Load,,Residential,4.3,2.55,1.84,107,3.3,4.7,4176,No,,,,No,,4/22/2015,4/22/2015,Canada,ES_0015649_592-4946*_04202015015759_70029832,No
2238070,Kenmore,592-4947*,,1,Front Load,,Residential,4.3,2.55,1.84,107,3.3,4.7,4176,No,,,,No,,4/22/2015,4/22/2015,Canada,ES_0015649_592-4947*_04202015015759_70029832,No
2238069,Kenmore,592-4948*,,1,Front Load,,Residential,4.3,2.55,1.84,107,3.3,4.7,4176,No,,,,No,,4/22/2015,4/22/2015,Canada,ES_0015649_592-4948*_04202015015759_70029832,No
2238072,Kenmore,592-4949*,,1,Front Load,,Residential,4.5,2.63,1.84,108,3.1,4.7,4088,No,,,,No,,4/22/2015,4/22/2015,Canada,ES_0015649_592-4949*_04202015015759_70029832,No
2256895,Kenmore,592-4961*,,8.87E+11,Front Load,,Residential,4.2,2.8,1.84,85,3.2,4.7,3927,No,,,,,,1/23/2016,1/11/2016,"United States, Canada",ES_0015649_592-4961*_01112016051357_70058875,Yes
2256898,Kenmore,592-4962*,,8.87E+11,Front Load,,Residential,4.2,2.6,1.84,115,3.3,4.7,4050,No,,,,,,1/23/2016,1/11/2016,"United States, Canada",ES_0015649_592-4962*_01112016051357_70058875,No
2256897,Kenmore,592-4964*,,8.87E+11,Front Load,,Residential,4.2,2.6,1.84,115,3.3,4.7,4050,No,,,,,,1/23/2016,1/11/2016,"United States, Canada",ES_0015649_592-4964*_01112016051357_70058875,No
2256896,Kenmore,592-4965*,,8.87E+11,Front Load,,Residential,4.2,2.6,1.84,115,3.3,4.7,4050,No,,,,,,1/23/2016,1/11/2016,"United States, Canada",ES_0015649_592-4965*_01112016051357_70058875,No
2256573,Kenmore,592-4966*,,8.87E+11,Front Load,,Residential,4.3,2.6,1.84,115,3.3,4.7,4186,No,,,,No,,1/23/2016,1/8/2016,"United States, Canada",ES_1023593_592-4966*_01072016045716_70058873,No
2256574,Kenmore,592-4967*,,8.87E+11,Front Load,,Residential,4.3,2.6,1.84,115,3.3,4.7,4186,No,,,,No,,1/23/2016,1/8/2016,"United States, Canada",ES_1023593_592-4967*_01072016045716_70058873,No
