ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Cooling_Capacity_BTUperHour,Type,Reverse_Cycle,Casement_Window,Energy_Efficiency_Ratio,Combined_Energy_Efficiency_Ratio,Date_Available,Date_Certified,Markets,CB_Model_Identifier
2254752,GE,AED08LV**,,8200,Window,No,None,,12.1,1/1/2016,12/11/2015,United States,ES_1123206_AED08LV**_12042015152538_4665490
2255243,GE,AED10AV**,,10000,Window,No,None,,12.1,1/1/2016,12/22/2015,United States,ES_1123206_AED10AV**_12212015165534_2458307
2306171,GE,AEH08LX*#,,8000,Window,No,None,,12,11/9/2017,11/9/2017,United States,ES_1123206_AEH08LX*#_11072017154423_3867608
2254744,GE,AEM05LV*#,",AEM05LX*#,",5200,Window,No,None,,12.1,1/1/2016,12/11/2015,United States,ES_1123206_AEM05LV**_11252015144754_7604486
2254746,GE,AEM06LV*#,",AEH06LV*#,; ,AEH06LX*#,; ,AEM06LX*#,",6050,Window,No,None,,12.1,1/1/2016,12/11/2015,United States,ES_1123206_AEM06LV**_11252015150023_4281885
2289411,GE,AEM08LV*#,",AEH08LV*#,; ,AEL08LV*#,",8000,Window,No,None,,12,1/23/2017,1/26/2017,United States,ES_1123206_AEM08LV*#_01242017134322_4840509
2306840,GE,AEM08LX*#,,8050,Window,No,None,,12,11/9/2017,11/20/2017,United States,ES_1123206_AEM08LX*#_11182017161246_1704065
2290339,GE,AEM10AV*#,",AEH10AX*#,; ,AEL10AV*#,; ,AEM10AX*#,",10000,Window,No,None,,12.1,1/23/2017,2/9/2017,United States,ES_1123206_AEM10AV*#_01242017134708_2400781
2290338,GE,AEM12AV*#,",AEH12AV*#,; ,AEH12AX*#,; ,AEL12AV*#,; ,AEM12AX*#,",12050,Window,No,None,,12,1/23/2017,2/9/2017,United States,ES_1123206_AEM12AV*#_01242017134858_4917566
2289412,GE,AEM14AV*#,",AEL14AV*#,; ,AEL14AX*#,; ,AEM14AX*#,; ,AHS14AX*#,",14300,Window,No,None,,11.8,1/23/2017,1/26/2017,United States,ES_1123206_AEM14AV*#_01242017135051_3957025
2289413,GE,AEM18DV*#,",AEH18DV*#,; ,AEH18DX*#,; ,AEL18DV*#,; ,AEL18DX*#,; ,AEM18DX*#,; ,AHS18DX*#,",18000,Window,No,None,,11.8,1/23/2017,1/26/2017,United States,ES_1123206_AEM18DV*#_01242017135242_773431
